what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775190642
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775193268
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775194990
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775195548
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775202265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775211758
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775227320
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1330775242701
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1330775249788
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1330775256508
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775310998
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775314656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775323734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775327005
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1330775328462
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1330775328946
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1330775329549
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1330775329939
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775338508
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775341483
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775347908
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775349582
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775355056
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775356668
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775366477
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775366927
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775367995
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775423703
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1330775433113
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775446108
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775448522
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775449049
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775466076
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775529725
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775537146
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775556274
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775563303
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775573446
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775582274
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775586557
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775587652
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775590152
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775593147
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775598135
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775631830
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775680646
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775682124
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775682920
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775683713
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775694621
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775696109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775704272
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775723139
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775729088
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330775740147
