what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318921895359
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318921897640
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318921899468
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318921900984
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318921902343
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318921902453
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318921913625
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318921914828
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318921914984
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318921918328
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318921918500
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318921921062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318921921953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318921923093
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318921924609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318921949500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318921951281
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318921952031
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318921956578
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318921960218
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318921963406
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318921964953
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318921965500
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318921967171
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318921971859
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318921975343
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318921976687
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318921976718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318921981250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318921982921
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318921982937
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1318921998062
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1318921998343
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1318922004453
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1318922008062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318922011437
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318922014921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318922029812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318922031406
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318922031437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318922033015
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318922039656
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318922039687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318922645562
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318924660562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318924667984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318924714828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318924778828
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318924780343
