what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751416875
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318751420015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751425468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751546062
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1318751559421
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1318751559500
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1318751559500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751583546
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751600906
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318751627562
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318751627687
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318751627687
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318751628453
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318751628453
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318751629468
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318751629468
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751631171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751720062
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318751720390
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318751720468
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1318751743531
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1318751772828
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1318751789531
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1318751796625
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1318751816203
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1318751833750
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1318751843640
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751849515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751855234
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751862968
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751865390
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751867859
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751926109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751959015
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318751959421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752058812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752068250
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1318752169484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752213296
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752227765
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752229187
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752235031
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752277718
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752279015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752287687
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752309656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752314625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752323765
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1318752328859
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752368468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752370843
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1318752371875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752416312
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752418953
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1318752420093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752485125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752493156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752516750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752523687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752527781
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752529265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752553500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752564328
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318752571765
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752581062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752619375
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752625468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752626687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752632375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752633703
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318752633718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752643062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752656921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752660890
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752662796
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1318752662828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752665578
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752667000
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318752667015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752674640
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752686515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752690078
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752691921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752693250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318752730656
