what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1319356993859
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1319356993859
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1319356993859
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1319356993859
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1319356993859
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1319356993875
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1319356993875
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1319356993875
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1319356993875
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1319356993875
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1319356993875
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1319356993875
os,sysinfo,,,"win32",1319356993875
arch,sysinfo,,,"x86",1319356993875
ws,sysinfo,,,"win32",1319356993875
locale,sysinfo,,,"th_TH",1319356993875
processors,sysinfo,,,"1",1319356993875
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1319356993875
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1319356993875
java.specification.name,sysinfo,,,"Java Platform API Specification",1319356993875
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1319356993875
java.specification.version,sysinfo,,,"1.6",1319356993875
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1319356993875
java.version,sysinfo,,,"1.6.0_13",1319356993875
java.vm.info,sysinfo,,,"mixed mode",1319356993875
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1319356993875
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1319356993875
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1319356993875
java.vm.specification.version,sysinfo,,,"1.0",1319356993875
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1319356993875
java.vm.version,sysinfo,,,"11.3-b02",1319356993875
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1319356994156
