what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1318333351906
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318333351906
java.specification.version,sysinfo,,,"1.6",1318333351906
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1318333351906
java.version,sysinfo,,,"1.6.0_26",1318333351906
java.vm.info,sysinfo,,,"mixed mode, sharing",1318333351906
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1318333351906
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318333351906
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318333351906
java.vm.specification.version,sysinfo,,,"1.0",1318333351906
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1318333351906
java.vm.version,sysinfo,,,"20.1-b02",1318333351906
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1318333352968
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1318333353015
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1318333353046
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318333354109
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1318333356015
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318333365796
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318333384484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318333408140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318333410875
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318333410953
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1318333414593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318333415312
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318333519812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318333543140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318333621031
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318333622093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318333725093
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318333728109
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318333733109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318333738375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318333739671
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318333739984
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1318333740531
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1318647904593
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1318647904593
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1318647904593
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1318647904593
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1318647904593
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1318647904593
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1318647904609
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1318647904609
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1318647904609
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1318647904609
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1318647904796
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1318647904796
