what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1325774797034
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1325774797034
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1325774797034
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1325774797034
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1325774797034
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1325774797034
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1325774797034
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1325774797034
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1325774797034
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1325774797034
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1325774797050
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1325774797050
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1325774797050
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1325774797050
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1325774797050
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1325774797050
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1325774797050
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1325774797050
os,sysinfo,,,"win32",1325774797050
arch,sysinfo,,,"x86",1325774797050
ws,sysinfo,,,"win32",1325774797050
locale,sysinfo,,,"th_TH",1325774797050
processors,sysinfo,,,"1",1325774797050
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1325774797050
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1325774797050
java.specification.name,sysinfo,,,"Java Platform API Specification",1325774797050
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1325774797050
java.specification.version,sysinfo,,,"1.6",1325774797050
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1325774797050
