what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepInto",1325781545671
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepInto",1325781545863
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepInto",1325781546079
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepInto",1325781546295
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepInto",1325781546735
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepInto",1325781547785
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepInto",1325781548241
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781562666
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781671651
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781672280
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781684435
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781685455
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781687329
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781687891
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781688836
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781694432
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781699011
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781702381
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781703168
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781704203
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781866005
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1325781868923
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325781868951
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1325781877516
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325781896518
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782006303
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782006720
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782007903
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782008896
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782009613
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782034367
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782085582
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782097967
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782129600
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.ToggleBreakpoint",1325782132242
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782153816
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782532757
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782534432
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782541899
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1325782541925
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782543416
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782554940
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782557631
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782611492
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1325782613621
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782620487
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782624723
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1325782626725
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1325782634909
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1325782634919
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325782636916
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1325782637094
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1325782639045
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1325782639066
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1325782639073
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1325782650965
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1325782659396
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1325782664016
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782687872
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782688812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782690484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782728756
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782755819
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782755912
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1325782755933
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782756952
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782778195
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782782998
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782836110
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782837326
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782878640
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782911050
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782911129
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1325782911146
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782912449
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782933672
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782939188
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325782991395
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepInto",1325782994831
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1325783013743
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1325783016858
activated,editor,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1325783016868
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325783019027
closed,editor,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1325783019027
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1325783023198
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325783024184
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325783028016
